,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skill_python,skill_excel,skill_sql,skill_soft,family_siblings,family_income_father,family_income_mother,device1_type1_laptop,device1_brand1_laptop,device1_year1_laptop,device2_type2_phone,device2_brand2_phone,device2_year2_phone,addr_city,addr_district,addr_postal
64,65,Randall Heath,18,Male,90,+998 46 373 60 33,Deleonside,Null,2022-11-08 18:02:11,Python,65,Pending,4.5,average,105,1985-10-02 00:00:00,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","position, stuff",3.0,4.0,1.0,"two, economy",5.0,527.0,408.0,laptop,HP,2021.0,phone,Xiaomi,2023.0,Tashkent,Lutzfort district,100220
65,66,Null,20,Male,90,+998 14 989 50 33,North Markbury,nrichard@carney.com,2012-03-29 00:00:00,Data Science,99,Inactive,4.5,average,274,2016-12-24 09:42:22,"67890 Conrad Walks, East Tannermouth","shake, behind",3.0,4.0,5.0,"what, happy",5.0,1227.0,564.0,laptop,Dell,2017.0,phone,Apple,2019.0,East Tannermouth,,67890
66,67,Ashley Mills,0,Female,90,Null,Youngside,Null,2012-07-27 00:00:00,Null,0,Pending,0.0,excellent,276,1991-06-04 04:44:47,"BROKEN,ADDRESS,DATA,,,","share, fly",2.0,5.0,3.0,"floor, question",0.0,1427.0,1378.0,laptop,Lenovo,2017.0,phone,Xiaomi,2022.0,,,
67,68,John Rosario,18,Female,82,+998 59 089 55 99,Belindabury,Null,1971-07-20 08:45:22,Data Science,0,Inactive,0.0,good,190,1990-08-02 14:57:53,"Apartment 1, North Adammouth district, Tashkent, UZ, 100059","result, current",3.0,1.0,4.0,"return, address",5.0,1037.0,1043.0,laptop,HP,2021.0,phone,Apple,2022.0,Tashkent,North Adammouth district,100059
68,69,Null,21,Unknown,0,Null,Jenniferfort,Null,2021-03-31 07:13:37,Data Science,109,Inactive,0.0,average,209,2001-08-11 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,
69,70,Null,18,Female,66,+998 77 328 59 87,Lake Josephville,nathaniel54@lloyd.biz,2002-10-31 12:03:00,Data Science,110,Pending,4.5,excellent,88,2012-06-13 19:49:00,"Port Lisa 17-kv, dom 46, Tashkent","ahead, force",5.0,1.0,1.0,"where, responsibility",5.0,658.0,561.0,laptop,Lenovo,2022.0,phone,Apple,2023.0,Tashkent,,
70,71,Robert Hayes,0,Male,0,+998 80 408 56 23,Tabithafurt,teresa05@collins.biz,2021-02-12 18:05:32,Python,63,Pending,0.0,excellent,103,1996-09-27 00:00:00,"Benitezmouth 14-kv, dom 38, Tashkent","lead, toward",1.0,2.0,3.0,"through, water",5.0,494.0,1415.0,laptop,HP,2018.0,phone,Xiaomi,2019.0,Tashkent,,
71,72,William Weiss,0,Female,78,+998 36 187 53 07,Williamfort,Null,2022-11-05 09:28:45,Data Science,0,Active,15.5,Null,57,1977-11-15 00:00:00,"313 Ayala Point, East Nicholas",,,,,,,,,,,,,,,East Nicholas,,
72,73,Null,18,Female,90,Null,Smithville,scampbell@mendez.biz,1993-12-18 00:00:00,Null,0,Inactive,3.19,good,117,2001-05-06 00:00:00,"BROKEN,ADDRESS,DATA,,,","majority, week",,,,,,,,,,,,,,,,
73,74,Brandi Reed,18,Male,90,Null,Port Randallberg,stacy11@yahoo.com,1990-09-05 00:00:00,Python,89,Pending,3.7,excellent,176,2013-07-28 22:26:51,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,
74,75,Null,22,Female,98,+998 93 695 08 28,East Shelly,lsmith@gmail.com,2023-06-03 03:01:15,Null,0,Active,2.71,average,200,2006-03-02 10:39:00,"BROKEN,ADDRESS,DATA,,,","dark, exist",5.0,1.0,4.0,"store, position",0.0,294.0,207.0,laptop,Lenovo,2021.0,phone,Samsung,2019.0,,,
75,76,Anthony Hendricks,0,Unknown,0,+998 95 616 61 47,Figueroamouth,Null,2000-07-19 00:00:00,Data Science,110,Inactive,0.0,Null,117,2023-04-14 02:02:02,UZ 100760 Tashkent Millermouth,"particular, lead",,,,,,,,,,,,,,Tashkent,Millermouth,100760
76,77,Alexa Sanders,21,Male,73,+998 47 747 56 43,Lake Randymouth,johnsonchelsea@yahoo.com,1986-12-20 00:00:00,Data Science,0,Active,0.0,excellent,256,2021-07-18 00:00:00,"034 Cooley Way, East Ian",,,,,,,,,,,,,,,East Ian,,
77,78,Null,18,Male,95,Null,Romeroville,ali@gmail..com,2017-12-25 12:00:00,Python,0,Active,4.5,good,217,1989-02-04 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,,,
78,79,Garrett Taylor,20,Female,0,+998 68 865 53 94,Martinezfort,Null,2005-11-18 17:34:28,Null,89,Active,0.0,excellent,225,1974-11-07 16:09:00,UZ 100510 Tashkent Andrewmouth,,,,,,,,,,,,,,,Tashkent,Andrewmouth,100510
79,80,Brandy Gray,19,Male,90,+998 94 780 67 66,Andrewborough,ballen@barber-saunders.com,1986-04-11 00:00:00,Data Science,105,Active,4.49,average,266,2025-07-12 00:00:00,UZ 100622 Tashkent Aarontown,"back, carry",,,,,,,,,,,,,,Tashkent,Aarontown,100622
80,81,Donna Scott,19,Female,0,+998 07 536 60 03,Lake Timfort,alicia71@robles.com,1996-11-30 17:12:35,Null,110,Active,0.0,excellent,65,2015-03-29 18:51:00,UZ 100720 Tashkent Lake Hollytown,"participant, spring",,,,,,,,,,,,,,Tashkent,Lake Hollytown,100720
81,82,Karen Baker MD,0,Female,60,Null,Kristinabury,paul48@brown.com,1974-09-10 00:00:00,Data Science,110,Active,3.7,average,68,2022-12-26 17:00:20,UZ 100855 Tashkent Lake Tyler,"garden, possible",1.0,4.0,4.0,"after, similar",4.0,349.0,536.0,laptop,Dell,2019.0,phone,Samsung,2022.0,Tashkent,Lake Tyler,100855
82,83,Null,18,Female,90,+998 76 833 87 60,Ayershaven,Null,1995-04-15 05:21:46,Null,102,Inactive,15.5,good,172,2000-09-03 00:00:00,"Apartment 18, Tarafurt district, Tashkent, UZ, 100739","actually, commercial",1.0,3.0,5.0,"example, defense",1.0,1111.0,456.0,laptop,HP,2023.0,phone,Apple,2023.0,Tashkent,Tarafurt district,100739
83,84,Michael Jenkins,18,Female,68,+998 64 413 58 70,New Brenda,mcolon@gmail.com,2002-11-25 00:00:00,Null,110,Inactive,0.0,average,284,2008-04-09 00:00:00,"BROKEN,ADDRESS,DATA,,,","collection, single",4.0,4.0,1.0,"expect, fall",5.0,675.0,1465.0,laptop,Dell,2020.0,phone,Apple,2019.0,,,
